"What is this Table?
This table lists the Housing Preservation Departments (HPD) unique Complaint types, complaint details and the location types present in the 311 Data on the Open Data Portal.
This HPD table is separated from other agency complaint details because HPD complaints correlate to feild that indicates which Buidling Management Program (BMP) the complaint type is associated with.

How you can use this table
• You can use this table to help you identify new types of complaints that are captured by 311.
• Use this table to get a sense of what services a Agency is responsible for.

Notes:
• ""BMP"" - Building Management Program.
•  ""DPM"", ""DAMP"" - Building Types managed by HPD under BMP programs. This information is used by 311 to determine the types of complaints applicable to a particular address.
• ""Sec8"" - Section 8 housing, managed by HPD under BMP program.
• ""PVT"" - Privately-Owned buildings; complaints are accepted even though they are not managed by HPD.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Agency,Complaint Type,Descriptor,BMP,Public View,Additional_Details,Location_Type,Location_Details
Department of Housing Preservation and Development,Door/Window,Door to Dumbwaiter,PVT,Yes,Broken or Open,Apartment,Entire Apartment
Department of Housing Preservation and Development,Door/Window,Door,PVT,Yes,Broken or Missing,Apartment,Entire Apartment
Department of Housing Preservation and Development,Door/Window,Door,PVT,Yes,Broken or Missing,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Door/Window,Door,PVT,Yes,Broken or Missing,Apartment,Living Room
Department of Housing Preservation and Development,Door/Window,Door,PVT,Yes,Broken or Missing,Apartment,Kitchen
Department of Housing Preservation and Development,Door/Window,Door,PVT,Yes,Broken or Missing,Apartment,Bedroom
Department of Housing Preservation and Development,Door/Window,Door,PVT,Yes,Broken or Missing,Apartment,Bathroom
Department of Housing Preservation and Development,Door/Window,Door,PVT,Yes,Broken or Missing,Apartment,Private Hall
Department of Housing Preservation and Development,Door/Window,Door,PVT,Yes,Broken or Missing,Apartment,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Door,PVT,Yes,Lock Broken or Missing,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Door/Window,Door,PVT,Yes,Needs Key for Exit,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Door/Window,Door,PVT,Yes,Not Self-Closing,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Lock Broken or Missing,Apartment,Entire Apartment
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Lock Broken or Missing,Apartment,Kitchen
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Lock Broken or Missing,Apartment,Living Room
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Lock Broken or Missing,Apartment,Bathroom
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Lock Broken or Missing,Apartment,Bedroom
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Lock Broken or Missing,Apartment,Private Hall
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Lock Broken or Missing,Apartment,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Loose or Defective,Apartment,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Loose or Defective,Apartment,Bedroom
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Loose or Defective,Apartment,Bathroom
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Loose or Defective,Apartment,Living Room
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Loose or Defective,Apartment,Kitchen
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Loose or Defective,Apartment,Entire Apartment
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Window Stuck Closed or Open,Apartment,Entire Apartment
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Window Stuck Closed or Open,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Window Stuck Closed or Open,Apartment,Kitchen
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Window Stuck Closed or Open,Apartment,Living Room
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Window Stuck Closed or Open,Apartment,Bathroom
Department of Housing Preservation and Development,Door/Window,Window Frame,PVT,Yes,Window Stuck Closed or Open,Apartment,Bedroom
