"What is this Table?
This table lists the Housing Preservation Departments (HPD) unique Complaint types, complaint details and the location types present in the 311 Data on the Open Data Portal.
This HPD table is separated from other agency complaint details because HPD complaints correlate to feild that indicates which Buidling Management Program (BMP) the complaint type is associated with.

How you can use this table
• You can use this table to help you identify new types of complaints that are captured by 311.
• Use this table to get a sense of what services a Agency is responsible for.

Notes:
• ""BMP"" - Building Management Program.
•  ""DPM"", ""DAMP"" - Building Types managed by HPD under BMP programs. This information is used by 311 to determine the types of complaints applicable to a particular address.
• ""Sec8"" - Section 8 housing, managed by HPD under BMP program.
• ""PVT"" - Privately-Owned buildings; complaints are accepted even though they are not managed by HPD.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Agency,Complaint Type,Descriptor,BMP,Public View,Additional_Details,Location_Type,Location_Details
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,LOOSE OR DEFECTIVE,Public Area,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Meter Room
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Yard
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Storage Room
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Hallway
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Fire Escape/Egress
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Lobby
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Laundry Room
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Kitchen
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Cellar
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Boiler Room
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Building Entrance
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Basement
Department of Housing Preservation and Development,Door/Window,Window Frame,Sec 8,Yes,Window Stuck Closed or Open,Public Area,Bathroom
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Basement
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Air Shaft
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Boiler Room
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Cellar
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Courtyard
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Kitchen
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Laundry Room
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Lobby
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Fire Escape/Egress
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Hallway
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Storage Room
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Yard
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Meter Room
Department of Housing Preservation and Development,Door/Window,Window Pane,Sec 8,Yes,Glass Broken or Missing,Public Area,Stairs
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Storage Room
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Yard
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Stairs
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Hallway
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Garage
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Kitchen
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Fire Exit/Passageway
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Fire Escape/Egress
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Meter Room
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Lobby
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Laundry Room
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Bathroom
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Basement
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Air Shaft
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Compactor Closet
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Courtyard
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Cellar
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Boiler Room
Department of Housing Preservation and Development,Door/Window,Door Frame,DPM,Yes,Frame Broken,Public Area,Building Entrance
Department of Housing Preservation and Development,Door/Window,Door to Dumbwaiter,DPM,Yes,Broken or Open,Public Area,Cellar
Department of Housing Preservation and Development,Door/Window,Door to Dumbwaiter,DPM,Yes,Broken or Open,Public Area,Compactor Closet
Department of Housing Preservation and Development,Door/Window,Door to Dumbwaiter,DPM,Yes,Broken or Open,Public Area,Basement
Department of Housing Preservation and Development,Door/Window,Door to Dumbwaiter,DPM,Yes,Broken or Open,Public Area,Lobby
Department of Housing Preservation and Development,Door/Window,Door to Dumbwaiter,DPM,Yes,Broken or Open,Public Area,Hallway
Department of Housing Preservation and Development,Door/Window,Door to Dumbwaiter,DPM,Yes,Broken or Open,Public Area,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Door to Dumbwaiter,DPM,Yes,Broken or Open,Public Area,Storage Room
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Storage Room
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Yard
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Stairs
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Hallway
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Kitchen
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Fire Escape/Egress
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Fire Exit/Passageway
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Lobby
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Meter Room
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Laundry Room
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Balcony/Terrace
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Basement
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Air Shaft
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Compactor Closet
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Courtyard
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Cellar
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Building Entrance
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Broken or Missing,Public Area,Boiler Room
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Lock Broken or Missing,Public Area,Boiler Room
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Lock Broken or Missing,Public Area,Cellar
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Lock Broken or Missing,Public Area,Courtyard
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Lock Broken or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Lock Broken or Missing,Public Area,Basement
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Lock Broken or Missing,Public Area,Meter Room
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Lock Broken or Missing,Public Area,Lobby
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Lock Broken or Missing,Public Area,Kitchen
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Lock Broken or Missing,Public Area,Hallway
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Lock Broken or Missing,Public Area,Stairs
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Lock Broken or Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Lock Broken or Missing,Public Area,Yard
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Not Self-Closing,Public Area,Hallway
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Not Self-Closing,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Door/Window,Door,DPM,Yes,Not Self-Closing,Public Area,Stairs
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Lock Broken or Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Lock Broken or Missing,Public Area,Yard
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Lock Broken or Missing,Public Area,Storage Room
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Lock Broken or Missing,Public Area,Kitchen
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Lock Broken or Missing,Public Area,Lobby
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Lock Broken or Missing,Public Area,Meter Room
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Lock Broken or Missing,Public Area,Cellar
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Lock Broken or Missing,Public Area,Boiler Room
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Lock Broken or Missing,Public Area,Courtyard
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Lock Broken or Missing,Public Area,Basement
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Lock Broken or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,LOOSE OR DEFECTIVE,Public Area,Air Shaft
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,LOOSE OR DEFECTIVE,Public Area,Basement
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,LOOSE OR DEFECTIVE,Public Area,Bathroom
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,LOOSE OR DEFECTIVE,Public Area,Cellar
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,LOOSE OR DEFECTIVE,Public Area,Lobby
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,LOOSE OR DEFECTIVE,Public Area,Laundry Room
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,LOOSE OR DEFECTIVE,Public Area,Kitchen
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,LOOSE OR DEFECTIVE,Public Area,Hallway
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,LOOSE OR DEFECTIVE,Public Area,Storage Room
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,LOOSE OR DEFECTIVE,Public Area,Stairs
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,LOOSE OR DEFECTIVE,Public Area,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Yard
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Storage Room
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Hallway
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Kitchen
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Fire Escape/Egress
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Laundry Room
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Meter Room
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Lobby
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Boiler Room
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Building Entrance
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Cellar
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Basement
Department of Housing Preservation and Development,Door/Window,Window Frame,DPM,Yes,Window Stuck Closed or Open,Public Area,Bathroom
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Basement
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Air Shaft
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Cellar
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Boiler Room
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Courtyard
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Meter Room
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Lobby
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Laundry Room
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Fire Escape/Egress
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Kitchen
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Hallway
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Storage Room
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Yard
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Window Pane,DPM,Yes,Glass Broken or Missing,Public Area,Stairs
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Public Area,Stairs
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Public Area,Yard
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Public Area,Storage Room
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Public Area,Meter Room
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Public Area,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Public Area,Hallway
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Public Area,Garage
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Door/Window,Door Frame,PVT,Yes,Frame Broken,Public Area,Fire Escape/Egress
